# piecewise constant function 
x y value 
0.727273 0.636364 0.275452
0.818182 0.636364 0.275452
0.818182 0.636364 0.174735
0.909091 0.636364 0.174735
0.909091 0.636364 0.059861
1.000000 0.636364 0.059861
1.000000 0.636364 0.000000

0.000000 0.727273 0.000000
0.000000 0.727273 0.059861
0.090909 0.727273 0.059861
0.090909 0.727273 0.174735
0.181818 0.727273 0.174735
0.181818 0.727273 0.275452
0.272727 0.727273 0.275452
0.272727 0.727273 0.353854
0.363636 0.727273 0.353854
0.363636 0.727273 0.403588
0.454545 0.727273 0.403588
0.454545 0.727273 0.420627
0.545455 0.727273 0.420627
0.545455 0.727273 0.403588
0.636364 0.727273 0.403588
0.636364 0.727273 0.353854
0.727273 0.727273 0.353854
0.727273 0.727273 0.275452
0.818182 0.727273 0.275452
0.818182 0.727273 0.174735
0.909091 0.727273 0.174735
0.909091 0.727273 0.059861
1.000000 0.727273 0.059861
1.000000 0.727273 0.000000

0.000000 0.727273 0.000000
0.000000 0.727273 0.046598
0.090909 0.727273 0.046598
0.090909 0.727273 0.136019
0.181818 0.727273 0.136019
0.181818 0.727273 0.214421
0.272727 0.727273 0.214421
0.272727 0.727273 0.275452
0.363636 0.727273 0.275452
0.363636 0.727273 0.314167
0.454545 0.727273 0.314167
0.454545 0.727273 0.327430
0.545455 0.727273 0.327430
0.545455 0.727273 0.314167
0.636364 0.727273 0.314167
0.636364 0.727273 0.275452
0.727273 0.727273 0.275452
0.727273 0.727273 0.214421
0.818182 0.727273 0.214421
0.818182 0.727273 0.136019
0.909091 0.727273 0.136019
0.909091 0.727273 0.046598
1.000000 0.727273 0.046598
1.000000 0.727273 0.000000

0.000000 0.818182 0.000000
0.000000 0.818182 0.046598
0.090909 0.818182 0.046598
0.090909 0.818182 0.136019
0.181818 0.818182 0.136019
0.181818 0.818182 0.214421
0.272727 0.818182 0.214421
0.272727 0.818182 0.275452
