
# Surface 0 of 1 surfaces

# Curve title: "'double_integral1_data.txt' using 'x':'y':'value'"

# IsoCurve 0, 24 points
# x y z type
9.0909000e-02 6.3636400e-01 5.9861000e-02 i
9.0909000e-02 6.3636400e-01 1.7473500e-01 i
1.8181800e-01 6.3636400e-01 1.7473500e-01 i
1.8181800e-01 6.3636400e-01 2.7545200e-01 i
2.7272700e-01 6.3636400e-01 2.7545200e-01 i
2.7272700e-01 6.3636400e-01 3.5385400e-01 i
3.6363600e-01 6.3636400e-01 3.5385400e-01 i
3.6363600e-01 6.3636400e-01 4.0358800e-01 i
4.5454500e-01 6.3636400e-01 4.0358800e-01 i
4.5454500e-01 6.3636400e-01 4.2062700e-01 i
5.4545500e-01 6.3636400e-01 4.2062700e-01 i
5.4545500e-01 6.3636400e-01 4.0358800e-01 i
6.3636400e-01 6.3636400e-01 4.0358800e-01 i
6.3636400e-01 6.3636400e-01 3.5385400e-01 i
7.2727300e-01 6.3636400e-01 3.5385400e-01 i
7.2727300e-01 6.3636400e-01 2.7545200e-01 i
8.1818200e-01 6.3636400e-01 2.7545200e-01 i
8.1818200e-01 6.3636400e-01 1.7473500e-01 i
9.0909100e-01 6.3636400e-01 1.7473500e-01 i
9.0909100e-01 6.3636400e-01 5.9861000e-02 i
1.0000000e+00 6.3636400e-01 5.9861000e-02 i
1.0000000e+00 6.3636400e-01 0.0000000e+00 i

# IsoCurve 9, 24 points
# x y z type
0.0000000e+00 6.3636400e-01 0.0000000e+00 i
0.0000000e+00 6.3636400e-01 6.8275000e-02 i
9.0909000e-02 6.3636400e-01 6.8275000e-02 i
9.0909000e-02 6.3636400e-01 1.9929400e-01 i
1.8181800e-01 6.3636400e-01 1.9929400e-01 i
1.8181800e-01 6.3636400e-01 3.1416700e-01 i
2.7272700e-01 6.3636400e-01 3.1416700e-01 i
2.7272700e-01 6.3636400e-01 4.0358800e-01 i
3.6363600e-01 6.3636400e-01 4.0358800e-01 i
3.6363600e-01 6.3636400e-01 4.6031300e-01 i
4.5454500e-01 6.3636400e-01 4.6031300e-01 i
4.5454500e-01 6.3636400e-01 4.7974600e-01 i
5.4545500e-01 6.3636400e-01 4.7974600e-01 i
5.4545500e-01 6.3636400e-01 4.6031300e-01 i
6.3636400e-01 6.3636400e-01 4.6031300e-01 i
6.3636400e-01 6.3636400e-01 4.0358800e-01 i
7.2727300e-01 6.3636400e-01 4.0358800e-01 i
7.2727300e-01 6.3636400e-01 3.1416700e-01 i
8.1818200e-01 6.3636400e-01 3.1416700e-01 i
8.1818200e-01 6.3636400e-01 1.9929400e-01 i
9.0909100e-01 6.3636400e-01 1.9929400e-01 i
9.0909100e-01 6.3636400e-01 6.8275000e-02 i
1.0000000e+00 6.3636400e-01 6.8275000e-02 i
1.0000000e+00 6.3636400e-01 0.0000000e+00 i

# IsoCurve 10, 24 points
# x y z type
0.0000000e+00 5.4545500e-01 0.0000000e+00 i
0.0000000e+00 5.4545500e-01 6.8275000e-02 i
9.0909000e-02 5.4545500e-01 6.8275000e-02 i
9.0909000e-02 5.4545500e-01 1.9929400e-01 i
1.8181800e-01 5.4545500e-01 1.9929400e-01 i
1.8181800e-01 5.4545500e-01 3.1416700e-01 i
2.7272700e-01 5.4545500e-01 3.1416700e-01 i
2.7272700e-01 5.4545500e-01 4.0358800e-01 i
3.6363600e-01 5.4545500e-01 4.0358800e-01 i
3.6363600e-01 5.4545500e-01 4.6031300e-01 i
4.5454500e-01 5.4545500e-01 4.6031300e-01 i
4.5454500e-01 5.4545500e-01 4.7974600e-01 i
5.4545500e-01 5.4545500e-01 4.7974600e-01 i
5.4545500e-01 5.4545500e-01 4.6031300e-01 i
6.3636400e-01 5.4545500e-01 4.6031300e-01 i
6.3636400e-01 5.4545500e-01 4.0358800e-01 i
7.2727300e-01 5.4545500e-01 4.0358800e-01 i
7.2727300e-01 5.4545500e-01 3.1416700e-01 i
8.1818200e-01 5.4545500e-01 3.1416700e-01 i
8.1818200e-01 5.4545500e-01 1.9929400e-01 i
9.0909100e-01 5.4545500e-01 1.9929400e-01 i
9.0909100e-01 5.4545500e-01 6.8275000e-02 i
1.0000000e+00 5.4545500e-01 6.8275000e-02 i
1.0000000e+00 5.4545500e-01 0.0000000e+00 i

# IsoCurve 11, 24 points
# x y z type
0.0000000e+00 5.4545500e-01 0.0000000e+00 i
0.0000000e+00 5.4545500e-01 7.1157000e-02 i
9.0909000e-02 5.4545500e-01 7.1157000e-02 i
9.0909000e-02 5.4545500e-01 2.0770800e-01 i
1.8181800e-01 5.4545500e-01 2.0770800e-01 i
1.8181800e-01 5.4545500e-01 3.2743000e-01 i
2.7272700e-01 5.4545500e-01 3.2743000e-01 i
2.7272700e-01 5.4545500e-01 4.2062700e-01 i
3.6363600e-01 5.4545500e-01 4.2062700e-01 i
3.6363600e-01 5.4545500e-01 4.7974600e-01 i
4.5454500e-01 5.4545500e-01 4.7974600e-01 i
4.5454500e-01 5.4545500e-01 5.0000000e-01 i
5.4545500e-01 5.4545500e-01 5.0000000e-01 i
5.4545500e-01 5.4545500e-01 4.7974600e-01 i
6.3636400e-01 5.4545500e-01 4.7974600e-01 i
6.3636400e-01 5.4545500e-01 4.2062700e-01 i
7.2727300e-01 5.4545500e-01 4.2062700e-01 i
7.2727300e-01 5.4545500e-01 3.2743000e-01 i
8.1818200e-01 5.4545500e-01 3.2743000e-01 i
8.1818200e-01 5.4545500e-01 2.0770800e-01 i
9.0909100e-01 5.4545500e-01 2.0770800e-01 i
9.0909100e-01 5.4545500e-01 7.1157000e-02 i
1.0000000e+00 5.4545500e-01 7.1157000e-02 i
